location,epi_year,epi_week,last_day_of_epi_week,complete_epi_week,vaccine_dose,vaccinations_epi_week,total_vaccinations,pct_total_population
Peru,2021,44,2021-11-06,1,3,58554,296002,0.8748854306845666
Peru,2021,45,2021-11-13,1,1,892368,21350692,63.10568633263806
Peru,2021,45,2021-11-13,1,2,623583,16887550,49.91409333368407
Peru,2021,45,2021-11-13,1,3,88031,384033,1.1350763731396618
Peru,2021,46,2021-11-20,1,1,787875,22138567,65.43438802620973
Peru,2021,46,2021-11-20,1,2,659923,17547473,51.864610620978254
Peru,2021,46,2021-11-20,1,3,80794,464827,1.3738771024817908
Peru,2021,47,2021-11-27,1,1,619812,22758379,67.26635027161167
Peru,2021,47,2021-11-27,1,2,1098710,18646183,55.11203925844502
Peru,2021,47,2021-11-27,1,3,268257,733084,2.166757356598823
Peru,2021,48,2021-12-04,1,1,470125,23228504,68.65588653521996
Peru,2021,48,2021-12-04,1,2,906143,19552326,57.79030261077644
Peru,2021,48,2021-12-04,1,3,754045,1487129,4.395468596997685
Peru,2021,49,2021-12-11,1,1,552159,23780663,70.28788856399463
Peru,2021,49,2021-12-11,1,2,836232,20388558,60.26193183447161
Peru,2021,49,2021-12-11,1,3,524884,2012013,5.946854616009172
Peru,2021,50,2021-12-18,1,1,657277,24437940,72.23058513774771
Peru,2021,50,2021-12-18,1,2,903887,21292445,62.93352718614214
Peru,2021,50,2021-12-18,1,3,407964,2419977,7.1526632248827555
Peru,2021,51,2021-12-25,1,1,240810,24678750,72.94234100616465
Peru,2021,51,2021-12-25,1,2,431180,21723625,64.2079547238026
Peru,2021,51,2021-12-25,1,3,861538,3281515,9.699088736133085
Peru,2021,52,2022-01-01,1,1,172099,24850849,73.45100955480751
Peru,2021,52,2022-01-01,1,2,367968,22091593,65.29554819329991
Peru,2021,52,2022-01-01,1,3,901626,4183141,12.36400130877247
Peru,2022,1,2022-01-08,1,1,192588,25043437,74.02023690909795
Peru,2022,1,2022-01-08,1,2,490098,22581691,66.74411813474504
Peru,2022,1,2022-01-08,1,3,1282763,5465904,16.155430622497466
Peru,2022,2,2022-01-15,1,1,160168,25203605,74.49364131062863
Peru,2022,2,2022-01-15,1,2,386484,22968175,67.88643886498569
Peru,2022,2,2022-01-15,1,3,1167918,6633822,19.607415549742072
Peru,2022,3,2022-01-22,1,1,109210,25312815,74.81643047382707
Peru,2022,3,2022-01-22,1,2,245008,23213183,68.61060265307215
Peru,2022,3,2022-01-22,1,3,749297,7383119,21.82209324974293
Peru,2022,4,2022-01-29,1,1,531078,25843893,76.38612393791547
Peru,2022,4,2022-01-29,1,2,201761,23414944,69.20694240543986
Peru,2022,4,2022-01-29,1,3,614985,7998104,23.639788456496763
Peru,2022,5,2022-02-05,1,1,769264,26613157,78.65981758170886
Peru,2022,5,2022-02-05,1,2,177125,23592069,69.73046617186712
Peru,2022,5,2022-02-05,1,3,690826,8688930,25.6816449390141
Peru,2022,6,2022-02-12,1,1,574491,27187648,80.35782572340861
Peru,2022,6,2022-02-12,1,2,161170,23753239,70.20683215879772
Peru,2022,6,2022-02-12,1,3,692121,9381051,27.72732901942853
Peru,2022,7,2022-02-19,1,1,376890,27564538,81.47178971679618
Peru,2022,7,2022-02-19,1,2,360208,24113447,71.27148959765296
Peru,2022,7,2022-02-19,1,3,607097,9988148,29.52170986926167
Peru,2022,8,2022-02-26,1,1,322678,27887216,82.4255207084869
